author,dt,link,line,支持走向,sampled
kid014028,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,由於川普代表的路線是貿易保護主義,0,0
kid014028,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,若川普當選,0,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,其中有 34% 為共和黨總統候選人川普 (Donald Trump) 的支持者,1,1
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,可能的發展如下FED為避免川普當選造成經濟動盪,0,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,就會想支持川普(因為希拉蕊與華爾街的關係較緊密)川普的支持度逐漸攀升,1,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,"就會加重跌勢......至於為何認為川普是空軍最大的支柱？因為載著戰鬥機的最強大載具是航母而美國航母有以總統命名的傳統所以空軍就期待""川普號航空母艦""的到來吧",0,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,有可能在川普民調贏希拉蕊到一定程度時就會開始跌跌到川普選上後變利空出盡,1,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,畢竟川普現在民調贏得還不夠多別急,0,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,讓子彈飛一會兒那表示黨內對川普深具信心嗎XD真的,0,0
zakijudelo,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,足以印證川普強打的恐嚇牌有效咦？很像哪裡怪怪的...,0,0
howenchong,2016-07-28,https://www.ptt.cc/bbs/Stock/M.1469683335.A.4BF.html,比如你很擔心川普會當選,0,0
ted5566,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469803288.A.0E1.html,共和黨總統候選人、企業家川普也堅持退出TPP的主張,0,1
ted5566,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469803288.A.0E1.html,川普如果掌握執政大權,0,0
Darcy,2016-08-02,https://www.ptt.cc/bbs/Stock/M.1470146413.A.2BE.html,但共和黨候選人川普和民主黨候選人希拉蕊都對《跨太平洋夥伴協定》（TPP）持反對立場,0,0
cheinshin,2016-08-04,https://www.ptt.cc/bbs/Stock/M.1470293758.A.017.html,即使美國大選由川普當選,0,0
cheinshin,2016-08-04,https://www.ptt.cc/bbs/Stock/M.1470293758.A.017.html,但別忘了川普是很成功的商人,1,1
a125567365,2016-08-14,https://www.ptt.cc/bbs/Stock/M.1471151023.A.4A7.html,像擔心川普會當選,-1,0
Hathaway,2016-08-14,https://www.ptt.cc/bbs/Stock/M.1471177914.A.FE9.html,1.原文連結(必須檢附)：2.原文內容：2016-08-14 02:08:51 經濟日報 編譯劉忠勇／綜合外電美國共和黨總統候選人川普的競選口號是,0,1
Hathaway,2016-08-14,https://www.ptt.cc/bbs/Stock/M.1471177914.A.FE9.html,暗嗆川普的悲觀論調；川普形容美國經濟現況「是大蕭條以來最弱的所謂復甦」,-1,1
pttzzzzz,2016-09-05,https://www.ptt.cc/bbs/Stock/M.1473043112.A.B7C.html,中間一度大跌到40多這波漲勢受惠川普基礎建設政策鑽全,1,0
cheinshin,2016-09-30,https://www.ptt.cc/bbs/Stock/M.1475218736.A.7D2.html,希拉蕊領先川普幅度擴大至35%,1,0
Bokolo      ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:而且川普又對房地產等等很熟悉，美股二萬點有機會,1,0
agog2008    ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:鍵盤支持川普,1,0
cerwvk      ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:川普本身不是很穩定，很多言論真的很有問題.,-1,0
chocoball   ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:川普跟北韓友好北韓跟台灣友好故川普跟台灣友好,0,0
KirbyEvans  ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:川普是帶領台股下看3955的急先鋒,-1,1
square      ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:鍵盤支持川普,1,0
tagso       ,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,:川普當選全壓空allin真心不騙,-1,0
clark0816   ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:是民主黨州可能變成搖擺州，對希拉蕊不見得會贏。,0,0
VANNN       ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:川普上了對台灣較有利吧，世界動亂，台灣的戰略價值,1,0
VANNN       ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:桑默斯和川普對決好象比希拉蕊勝算大,0,0
clark0816   ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:有分析文說希拉蕊贏對手的地方都是共和黨州，對手,0,0
F1ower      ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:川普之前和希拉蕊名調５５波捏,0,0
PackinGo    ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:川普不選上，大家要怎麼玩,0,0
PANI        ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:你確定川普不會上?不用太高估老美智商,1,1
yahoostar   ,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,:跟蠻多老美聊天，得知其實川普不見得機會低哦！,1,0
takako1014  ,2016-06-07,https://www.ptt.cc/bbs/Stock/M.1465234784.A.698.html,:川普最佳助選員。等著看煙火嘍咻蹦,1,0
chocoball   ,2016-06-08,https://www.ptt.cc/bbs/Stock/M.1465365609.A.32E.html,:今天崩川普當選?!,0,0
samwu995    ,2016-06-08,https://www.ptt.cc/bbs/Stock/M.1465390627.A.B02.html,:川普想降息吧?,0,1
ljsnonocat2 ,2016-06-08,https://www.ptt.cc/bbs/Stock/M.1465390627.A.B02.html,:這輩子應該不會升了等川普當選吧,0,0
dowcher     ,2016-06-09,https://www.ptt.cc/bbs/Stock/M.1465436509.A.659.html,:川普跟脫歐爆炸程度大概像歐債,-1,0
koyo017     ,2016-06-09,https://www.ptt.cc/bbs/Stock/M.1465436509.A.659.html,:川普當選,0,0
sh58702e    ,2016-06-11,https://www.ptt.cc/bbs/Stock/M.1465609302.A.BE2.html,:些新興開發歐東歐或有債的又還不出來，以及川普若,0,0
em1234      ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465777802.A.480.html,:[新聞]美佛州夜店槍擊川普再提穆斯林禁令,0,0
ckw19       ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:川普要是當選美國會很精彩族群撕裂,-1,0
ckw19       ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:但我覺得川普要是當選重點是他背後的民意支持,1,0
ckw19       ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:幹講錯是川普拉,0,0
gg889g8     ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:川普上是好是壞　就各自解讀惹,0,0
gg889g8     ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:其實我是覺得川普也是嘴一嘴不敢硬幹,0,1
Justisaac   ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:會不會選完就qe4啊現在假裝經濟好給希拉蕊助攻XD,0,0
Justisaac   ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:我覺得川普要贏一定要到最後XDD希拉蕊倒可能提前,0,0
kimigogo    ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:川普跟柯文哲差在哪?,0,0
topboss     ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:美國大選前來幾個恐怖攻擊，有可能會讓川普選上就慘,0,0
topboss     ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:恐怖分子聰明的話就幫川普選上，美國就步入悲慘境界,-1,1
gg889g8     ,2016-06-13,https://www.ptt.cc/bbs/Stock/M.1465797602.A.338.html,:那個槍擊案本身是沒影響　但是會讓川普多很多票,0,0
jgj12321    ,2016-06-16,https://www.ptt.cc/bbs/Stock/M.1466086745.A.8E0.html,:川普又要開砲了~,0,0
Justisaac   ,2016-06-18,https://www.ptt.cc/bbs/Stock/M.1466249478.A.937.html,:我超級希望川普當選......,1,0
evan2014    ,2016-06-18,https://www.ptt.cc/bbs/Stock/M.1466249478.A.937.html,:倒是川普當選比較恐怖,-1,0
q1685000    ,2016-06-22,https://www.ptt.cc/bbs/Stock/M.1466560242.A.9CC.html,:千錯萬錯川普的錯y,0,0
sh58702e    ,2016-06-23,https://www.ptt.cc/bbs/Stock/M.1466661605.A.530.html,:脫毆成功的話會影響美國是否要選川普的決心,0,0
epicurious  ,2016-06-23,https://www.ptt.cc/bbs/Stock/M.1466661605.A.530.html,:Leaveorstay?由柯文哲當選，杜特蒂當選，川普即,-1,0
sh58702e    ,2016-06-23,https://www.ptt.cc/bbs/Stock/M.1466661605.A.530.html,:放心啦，還有川普這天鵝可以賺,-1,0
C13H16ClNO  ,2016-06-23,https://www.ptt.cc/bbs/Stock/M.1466687573.A.B16.html,:新手發問川普當選會不會把呆幣搞到20比1？,-1,0
sali921     ,2016-06-24,https://www.ptt.cc/bbs/Stock/M.1466737609.A.88E.html,:脫歐確定的話川普當選機會又更大了新保護主義!!,1,0
cching1021  ,2016-06-24,https://www.ptt.cc/bbs/Stock/M.1466741779.A.D36.html,:這完全是極右派鼓動的川普式makexxxgreatagain鬧,-1,1
square      ,2016-06-24,https://www.ptt.cc/bbs/Stock/M.1466748011.A.56D.html,:我開始覺得川普會當選了…,1,0
arfuu       ,2016-06-24,https://www.ptt.cc/bbs/Stock/M.1466750950.A.453.html,:如果川普上才是最大的一隻吧,-1,0
antioxidant ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466826141.A.A2C.html,:如果再把川普送進白宮....天下大亂...,-1,0
tonyparker18,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466826141.A.A2C.html,:美國就業數據沒有回升Fed不敢升息的確會助長川普,0,0
walkwall    ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466826141.A.A2C.html,:安啦川普一定當選,1,0
capirex     ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466830357.A.B49.html,:只差川普當選了,1,0
hong888     ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466830357.A.B49.html,:後面還有第5個川普當選,1,0
dragoncfe168,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466861269.A.5B1.html,:若民粹病沒有發作豈有川普大帝之誕生耶!,-1,0
wedwu       ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466861269.A.5B1.html,:讓川普去當英國首相啦!美國人最會談判了!,-1,0
dicht       ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:統選後才有可能升息。下一隻黑天鵝應該是川普當選,-1,0
Justisaac   ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:川普當選搞不好自己QE3......,-1,0
tonyparker18,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:而且川普真的當選升息就遙遙無期囉～,0,0
WANG122122  ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:川普...真的會世界大亂,-1,0
C13H16ClNO  ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:川普當選大概會把FED脖子掐得更緊,0,0
ljsnonocat2 ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:你應該擔心要是川普當選,-1,0
zaq1xsw2121 ,2016-06-25,https://www.ptt.cc/bbs/Stock/M.1466865967.A.765.html,:川普會大敗沒問題的,-1,0
turnpoint   ,2016-06-26,https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,:歐盟解體+蘇格蘭獨立+川普當選+iPhone7銷售慘淡這,-1,0
turnpoint   ,2016-06-26,https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,:一隻黑天鵝不夠，可以來第二隻啊，好比說川普當選,-1,0
yanki826    ,2016-06-26,https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,:11月又可押寶啊川普,0,0
eiw123      ,2016-06-26,https://www.ptt.cc/bbs/Stock/M.1466952756.A.81A.html,:都有川普了他夠綜藝了吧,-1,0
bitlife     ,2016-06-27,https://www.ptt.cc/bbs/Stock/M.1467007308.A.488.html,:以合法的方式成為像納粹德國一般的國家，說不定川普,-1,0
horse7      ,2016-06-27,https://www.ptt.cc/bbs/Stock/M.1467007308.A.488.html,:差希拉蕊逾10個百分點…川普退燒,-1,0
mitim       ,2016-06-27,https://www.ptt.cc/bbs/Stock/M.1467007308.A.488.html,:所幸美國三權分立的憲法建置，可以制衡川普者流,-1,0
peter7944   ,2016-06-27,https://www.ptt.cc/bbs/Stock/M.1467007308.A.488.html,:菲菲表示:你們這些弱泡菲菲川普上任經濟起飛,-1,0
qq091234567 ,2016-06-27,https://www.ptt.cc/bbs/Stock/M.1467007308.A.488.html,:英脫歐成功川普爆冷當選也不意外,-1,0
roberchu    ,2016-06-29,https://www.ptt.cc/bbs/Stock/M.1467180011.A.013.html,:川普當選1.0,0,0
Lans1002    ,2016-07-01,https://www.ptt.cc/bbs/Stock/M.1467352965.A.415.html,:光說到這點我是米國人也會投川普,1,0
Lans1002    ,2016-07-01,https://www.ptt.cc/bbs/Stock/M.1467352965.A.415.html,:川普：全球化是有錢人與政客間的交易,0,0
soaringwings,2016-07-05,https://www.ptt.cc/bbs/Stock/M.1467678609.A.9EC.html,:空軍劇本：歐盟解體川普當選中國債務危機FED升,-1,1
em1234      ,2016-07-08,https://www.ptt.cc/bbs/Stock/M.1467936587.A.189.html,:富的思想更深植人心。希拉蕊克拉瑪的超越大盤不錯，,0,0
shinfaang   ,2016-07-11,https://www.ptt.cc/bbs/Stock/M.1468216867.A.8F4.html,:要靠川普了,0,0
macefindu   ,2016-07-12,https://www.ptt.cc/bbs/Stock/M.1468313484.A.B56.html,:誠心建議11月川普大選來空,-1,0
f204137     ,2016-07-15,https://www.ptt.cc/bbs/Stock/M.1468542727.A.896.html,:川普是你們最後希望惹不是,0,1
mooto       ,2016-07-17,https://www.ptt.cc/bbs/Stock/M.1468759534.A.177.html,:這就是美國為什麼強大而我們對於川普要把蘋果的組,0,0
kilmo       ,2016-07-17,https://www.ptt.cc/bbs/Stock/M.1468759534.A.177.html,:結果嗤之以鼻的川普已經在選總統了，社會底層人民比,-1,0
zakijudelo  ,2016-07-18,https://www.ptt.cc/bbs/Stock/M.1468824793.A.302.html,:就說美國大選前不會讓它崩啦，但希拉蕊會輸，因為貧,1,0
Kunoichi    ,2016-07-21,https://www.ptt.cc/bbs/Stock/M.1469065458.A.177.html,:川普當選也不能立刻換掉葉倫阿媽,0,0
zakijudelo  ,2016-07-21,https://www.ptt.cc/bbs/Stock/M.1469065458.A.177.html,:跌，對民主黨選情不利，川普聲勢會上漲，FED會不樂,0,1
zakijudelo  ,2016-07-21,https://www.ptt.cc/bbs/Stock/M.1469065458.A.177.html,:白宮商討，川普則是說他當選會換掉葉倫，你想FED會,0,0
zakijudelo  ,2016-07-21,https://www.ptt.cc/bbs/Stock/M.1469065458.A.177.html,:中立嗎？而且大家都不樂見川普當選，說他當選經濟會,-1,0
zakijudelo  ,2016-07-21,https://www.ptt.cc/bbs/Stock/M.1469065458.A.177.html,:這是奇檬子的問題，你川普要黑我，我葉倫怎讓你好過,-1,0
epicurious  ,2016-07-22,https://www.ptt.cc/bbs/Stock/M.1469147403.A.2B3.html,:川普要當選了，坐等美國崩崩,-1,0
bitlife     ,2016-07-22,https://www.ptt.cc/bbs/Stock/M.1469147403.A.2B3.html,:[新聞]若未盡義務　川普：不排除放棄保護北約盟國,0,0
tbcen77103  ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469406603.A.237.html,:川普說啥股市會有反應嗎...,0,0
yanki826    ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469406603.A.237.html,:川普:當選後美國退出WTO,-1,1
yanki826    ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469406603.A.237.html,:下跌新聞是這個吧川普:美國退出WTO德法入境都要,0,0
yanki826    ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469406603.A.237.html,":檢查~""~看來川普當選機率很高",1,0
Kunoichi    ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:川普應該是想挑戰中國或俄國名留青史,0,1
Bachika     ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:世事難料阿搞不好是希拉蕊當選結果大崩盤,0,0
FreeQQ      ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:川普選上，小英樂歪,0,0
gn01948540  ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:很期待川普上,1,0
ray2501     ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:川普有可能會上啊，沒看到外國一直發生事情助攻嗎？,1,0
webptt      ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:川普是光明會的？當選機率大。,1,0
yanki826    ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:川普類似過去門羅孤立主義,0,0
youfe       ,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,:川普會上嗎?突然有點期待,1,0
FreeQQ      ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469493059.A.191.html,:川普當選大利多，還有3個月多,1,0
neoma       ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469493059.A.191.html,:川普會宣布稱帝嗎,-1,0
gn01948540  ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469493059.A.191.html,:可能是因為川普民調領先5趴吧,0,1
richard67   ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469493059.A.191.html,:空軍再忍一下，下個月開始炒川普這隻大鵝,-1,0
richard67   ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469493059.A.191.html,:川普民調領先希拉蕊，搖擺州也小贏,1,0
ilhhs       ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:大家都以為川普當選要崩？,0,0
Justisaac   ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:CNN最新民調川普領先2%wtf,-1,0
Justisaac   ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普上不會ww3但是呆完會崩崩吧XD,0,0
topboss     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普當選，台股崩到一千點都不算過分。四千往一千跌,-1,0
joe35689    ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普上了呆丸會怎麼樣?,0,0
KuraHoshi   ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普當選會崩到確定當選那刻才反彈,0,0
Lans1002    ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普比布希還狂啊！,-1,0
mitim       ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普上位，美軍撤離，日本再度武裝，日中衝突,-1,0
sky2003     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469512895.A.7EE.html,:川普效應,0,0
Ghamu       ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,":而領先者反而會因為""川普這小丑有可能嗎？""不出門",0,1
Ghamu       ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:投票而且所有有錢有資源的人都不希望川普上吧?,-1,0
goddarn     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:竟然在黨大會公開不挺川普擺明瞄準2020,-1,0
Kunoichi    ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:川普就門羅主義啊但事實上不可能,-1,0
ray2501     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:別擔心，國外一直助攻，川普贏面大增,1,0
ww          ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:每天都有川普新聞然後希拉蕊被當路人,0,1
Kunoichi    ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:跟我一起喊：「川普當選，錢進台灣！」,1,1
Boyzone     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:CNN最新民調川普領先2%XDD,1,0
Ghamu       ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:我覺得川普會上這戲碼跟脫毆有87%像,1,0
gm79227922  ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:負面行銷選總統正夯反正川普的話聽聽就好,-1,0
goddarn     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:川普選上美國馬上孤立政策鎖國,-1,0
goddarn     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:共和黨黨魁很微妙沒挺川普更別提盧比歐克魯茲,0,0
Kunoichi    ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:川普有錢難說眾議院買200個議員想過什麼就過什麼,0,0
manlike     ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:這個民調準嗎？0.0好希望川普當選啊~~~~~XDDDDDD,1,0
michaelsun  ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:結果川普上任大漲噴到2萬,1,0
ww          ,2016-07-26,https://www.ptt.cc/bbs/Stock/M.1469527060.A.DD8.html,:那些民主黨媒體三天兩頭報川普出糗反而替他打廣告,1,0
dowcher     ,2016-07-27,https://www.ptt.cc/bbs/Stock/M.1469594878.A.1CE.html,:而且實際上大部份的美國人就越過越差不然川普不會,1,1
dragoncfe168,2016-07-27,https://www.ptt.cc/bbs/Stock/M.1469594878.A.1CE.html,:如果美國經濟真的很好川普的民粹主義怎會風迷全美?,1,0
Justisaac   ,2016-07-27,https://www.ptt.cc/bbs/Stock/M.1469599203.A.2EF.html,:不過今年年底有川普大戰搞不好會走變化題~,0,0
gidapops    ,2016-07-28,https://www.ptt.cc/bbs/Stock/M.1469658841.A.FD3.html,:希拉蕊表示,0,0
popo123456  ,2016-07-28,https://www.ptt.cc/bbs/Stock/M.1469658841.A.FD3.html,:fed一直凌遲中下階級人，難怪川普聲勢那麼旺,1,0
silentking  ,2016-07-28,https://www.ptt.cc/bbs/Stock/M.1469683335.A.4BF.html,:現在進場的話，等川普當選或許有希望!,1,0
FreeQQ      ,2016-07-28,https://www.ptt.cc/bbs/Stock/M.1469704029.A.319.html,:崩了有國安，川普當選大利多，不買嗎？,0,0
eric210     ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:說到美國請川普老大一定要凍蒜啊~~,1,0
eric210     ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:我的感覺在川普有點像之前柯P選戰的氛圍,1,0
eric210     ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:我是蠻支持川普的,1,1
goddarn     ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:川普民調太高說不定會被暗殺呀美國總統死亡率不低,0,0
goddarn     ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:說不定川普最終民調贏選舉卻輸畢竟搖擺州不利,0,0
Justisaac   ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:只要一個事件引爆民族主義川普應該就會上XD,0,0
Justisaac   ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:我是有點抓不準川普上對台灣的影響.....,0,0
Justisaac   ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:不過川普是生意人實在很難想像他會怎樣牆頭草XD,0,0
Justisaac   ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:說炒民粹不太對執政跟在野都不希望川普上XD,-1,0
Justisaac   ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:但如果來個兩顆子彈打不死川普那就好玩了XD,0,0
Justisaac   ,2016-07-29,https://www.ptt.cc/bbs/Stock/M.1469772002.A.423.html,:最可能是民調接近選舉人票川普大輸,-1,0
