,dt,author,title,link,board,content,positive,negative,score
5098,2016/10/18,pradalove,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476796731.A.5FE.html,Stock,台灣證券產業大餅一直萎縮，券商能給系統廠的錢當然也就愈少，而且凱衛收入=桌機板看盤軟體+代理MultiCharts+中後臺伺服器+中國部分，以前還能有一些獲利，但目前金融軟體產業遇到結構性的改變，有能力的廠商都轉做app惹，但是凱衛...恩...就不用談了，三竹這塊又守的這麼穩，其他廠商也只能打打醬油，毛利率，eps愈來愈慘就能看出來~所以各位從哪看到股價爆發的潛力?除非公司地下室挖到石油吧...這時候去做多幫抬轎的，希望未來的日子裡，別在電視新聞中看到各位在陳情抗議...--,19,0,-1
5102,2016/10/18,ssddf,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476733446.A.144.html,Stock,正義魔人來信大，希望散戶不要賠錢的言論聽起來真的頭頭是道，但是讓我感到困惑的是為何做的跟說得是兩碼子事 @@?1.你希望散戶不要賠錢，但你卻拼命放空希望股價崩盤，到底是想賺散戶錢還是在幫散戶阿??2.你認為此檔股票是有心人士佈局且已出貨，應該是善意提醒大家小心操作，為何是滿手空單然後想要教訓進場的散戶，還是說放空後股價下不去很害怕要幫自己解套??3.觀察凱衛盤中五檔掛單，總是有人基於大戶已出貨認為此檔股票多為散戶買進，盤中常常刻意掛大量賣單想要嚇散戶，甚至不惜摜壓股價想要讓散戶多殺多互相賤踏以利打壓股價，這如果是你的所為的話，好像台股亂象你也貢獻了一份喔~此檔股票是否轉空頭都還言之過早，你卻在這邊亂喊空股票，萬一害人被嘎怎麼辦阿??好像給人空完股價下不去很害怕無所不用其極的感覺耶~最後我只能說祝福你空好空滿，萬一被嘎的時候不要是第一個回補的人害其他放空的人要回補在更高的價格喔~~(說個笑話，某人停損設50!)--,41,20,-1
5127,2016/10/19,imvh,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476807329.A.213.html,Stock,  對凱衛沒研究，無意評論這檔股票，只是一個老人在回憶過往慘痛經驗.....  我空過2009年的網龍，多少價位空的已經不記得了，只記得當時離起漲點已經漲好幾倍，  印象中應該是2009/5/18~5/2/25那星期。(年代久遠，看盤軟體對帳單查不到)  基本面:雖然獲利大成長，但已經漲過頭不值那個價  籌碼面:天天漲停，想在漲停價空還沒有券，沒記錯的話，空在某天漲停板，空到的時候         還很高興，終於有券QQ......  總之，各方面經過判斷，就是不值那個價錢。一年後回頭看，我的判斷是對，但不幸的是，  沒撐到那時候，就投降了。  台股很多股票量小，股本小。  一些成交量很小的股票，很容易被鎖籌碼，基本上，這種主力股不要太理性去看待，  尤其在制度上，券有限，多空對決上，除非空方有人手中已握有大量持股，不然多方  佔絕對優勢。  不是說主力股就不會跌回來，我相信每支股票遲早都會有一天路過合理股價的時候，  只是對主力股來說，大部分要在炒手出脫後。所以看到轉空訊號，在空會比較安全些。  雖然當年在網龍賠了不少錢，不過我還蠻佩服網龍的炒手，從線圖來說，應該全身而退  (如果真的是有人炒的話)，真是高手。--,16,0,1
5138,2016/10/19,sdes6332,[標的] 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1476847191.A.447.html,Stock,"1. 標的：52012. 分類：多/空3. 分析/正文：不好意思，剛剛進退場機制沒寫清楚被砍文，補發先說結論：一句話，股市人心險惡，你看到的不一定是真的。雖然我看不慣月風， 但為了他底下那八萬個信徒，來發表一下個人淺見，看能救多少就救多少藉由券商分點進出，以下是我觀察到的，這三千張券單中大概有2100到2300張是假的(到昨天18號為止)推測原因如下，如果錯誤請再指教：有主力用現股往上買進並同時用券單賣出，製造買氣強烈、融券餘額直線飆升的現況；另一邊，某人一直在富豪居擔任喊盤者""籌碼戰""、""軋空""、""一張不賣""來製造散戶信心。散戶看到的就是券單持續增加、股價狂漲。不看還好，一看激情都來了，期待可以集眾人之力把空單軋到明年股東會強制回補(打到這裡我都笑了)殊不知主力早就鎖得剛剛好，現股券單一比一，等散戶買上去就把現股倒出來、剩下的空單等回到十塊才回補傻傻散戶還以為「嘩~~衝阿~~軋空軋到五十就贏了」傻瓜，軋到五十人家剛好出光多單，剩下空單要等你賣途中若真的要強制回補人家拿現股去補就好，誰跟你在市場買阿XD以上，藉由現況推測有關主力未來的操作，雖然可能稍有出入，但應該不偏離太遠-----只能說這主力真的很賊，多空雙賺，配合人喊盤就算了，還鎖單……弄得我找了一大堆券商才空到幾張我相信來信大不會這樣做，只能說有人這樣做就是了...4. 進退場機制：(停損價位/出場條件/長期投資)現價進場多空對鎖五十元出多單，十元回補空單軋到一百停損。--",54,2,-1
5194,2016/10/21,logate,Re: [標的] 5201 凱衛 seafood股,https://www.ptt.cc/bbs/Stock/M.1477050119.A.42D.html,Stock,喊5201的人有當年喊3060那批老師猛嗎?當5201基本面不好，又發現有特定股東一直在出貨，要小心是不是跟公司有關人事在賣，易通展拉到公司直接申報賣出，是因為它們公司派持股都在抬面上，不是每家公司都這麼佛心來，直接給明示有問題的公司少碰，賺到也不是你利害，虧到會悔不當初，因為你只是賭而已，要賭我寧願拿這些錢去澳門玩百家樂，21點勝率還未必比較低，贏錢了還可以直接叫小姐上樓打一炮，享受人生還比較實際--,16,0,0
5210,2016/10/21,y22710616,[標的] 5201 凱衛 seafood股,https://www.ptt.cc/bbs/Stock/M.1477036339.A.DE5.html,Stock,1. 標的： 5201 凱衛2. 分類：多/心得3. 分析/正文：5201 凱衛「沒有任何基本面」由K棒來觀察，買盤上去的帶量K棒，多空交戰上下影線都拉，但是股價還是持續拉上去看上去就是籌碼面佔優勢，也只能看籌碼面來做大部份的券商已經沒有券可以空了接下來的上影線就是賣壓但是大戶籌碼集中死守沒錯，因為刻意炒作，放消息說：一張不賣大部分都是那個社團的成員持有一群人死都不賣，又沒什麼券可以空股價就是換手拉高；換手拉高直到整個泡沫化，變成持股的「多殺多」股價才會下跌今日已經進場25.9 五張股價起碼短時間內不會崩畢竟信仰的邪念很可怕，籌碼都在他們手上目前就看換手上漲；嘎空力道4. 進退場機制：(停損價位/出場條件/長期投資)24.9塊五張股價至28~30塊移動停利(避免當最後一隻老鼠)若有發現籌碼出貨，多殺多立即停損停利P.S: 我不是seafood 派來的樁腳不過我只是想撈點油水而已QQ我原本的發文明明就有講到分析板主怎麼判我日記文！--,31,8,1
5293,2016/10/25,comemail,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1477364912.A.49C.html,Stock,10/17 發文時股價24  今目前29.3無論日後此筆交易是輸是贏  富豪居已全部大勝包含月風本人核心幹部底部參與鎖碼各路人馬公司大股東緊跟著海鮮腳步的忠實信徒聽信徒的好朋友們監察人零壹科技只要是低檔買進高檔賣出->現在都賺大錢以上都是股市贏家就算現在還沒賣的幾千名散戶持有者只要能夠每天FOLLOW富豪居FB  時時刻刻謹遵教誨並且注意盤面狀況相信在海鮮煮熟之前  都能在跌停板上跑掉都能獲利而我之後也會更尊敬網路社團的力量並且申請加入富豪居期望能更了解社會百態[NBA] Paul Pierce「打不過他、就加入他。」=================================================補心得避免被砍：一直以來我認為透過大量研究搭配努力學習  程式掃描  風險控管  心態培養以此創造利潤  是可行的方式這次見識到另外一種創造大量利潤的方法若人生以金錢物資人脈名聲來打分數的話富豪居月風此生應該可以超越95%的人希望月風努力做  盡量做  直到蓋棺那天  都可以維持一代大師風範--,103,18,-1
5295,2016/10/25,da0817,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1477368856.A.39A.html,Stock,前文恕刪一堆人在看雖空軍  我來支持一下空軍今天早上看到某狙再說權證小哥也在散播謠言真希望小哥去吉一下剛剛用理財寶發現一個問題10/03 喊出買進5201 價位18.5不過當天只有亞東高雄成交100張在19.618.5的價位只有凱基大直有三張  真不知道18.5怎買的我絕對不會懷疑是喊盤 因為不會有人吃在漲停在喊盤隨然我一路上都有看到虎尾幫的影子10/12 買進79張 賣出149張 然後當晚13號就開始解盤說是空軍大空了多少張多少張10/14 買入110張 賣出76張10/17 買入101張 賣出76張10/18 買入70張  賣出61張10/19 賣出50張  就在這天結束就說 在10/20傳出有業務員告知有人匯撥50張過去亞東賣出  那麼剛好?18號來信大參戰馬上就有回應?當天20號也貼出有一張買入價位在25.15  20張的成交單 (有找到這筆)當天成交99張 賣出0張以上 理財寶資料心得:1.理財寶有時候有一個盲點 如果你用統計天數下去看 他只會統計當天是買超或是賣超我只能用分點查詢 手動計算分點每天的買賣超2.一路上都有虎尾幫的身影3.ㄟ!!我想不到啥好寫了耶! 因為天天戰況都在變化4.我承認我很閒 所以以上文章各自解讀5.空軍加油!!6.對了 想知道這個老師的故事 網路可以搜尋一下藍玉大 跟他有精彩的交手7.易通展 欣巴巴(小獅王) 這兩檔被套死多少人 大家都知道巴! 不知道的再來寫故事--目前轉播戰績先發:1W0L (完撥勝)中繼:0W1L--,11,2,0
5311,2016/10/25,logate,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1477380499.A.069.html,Stock,10/25凱衛 監察人零壹科技一般交易目前持股 902，000轉讓張數 232，000============易通展易通展：台灣鋼鐵等於6/16-7/13經集中市場交易，合計減少持有公司股份36.2萬股易通展：台灣鋼鐵等於7/14~27經由集中市場交易方式，合計減少持有公司股份24.1萬股雖然未必會立刻反應股價(易通展是8/10號開始跌)大股東直接申讓賣出要非常小心--,22,1,-1
5325,2016/10/25,y22710616,Re: [標的] 5201 凱衛 seafood股,https://www.ptt.cc/bbs/Stock/M.1477372332.A.2EE.html,Stock,如同文章移動停利，29.2出場3張但是還未到30塊，反正有賺就先跑了手頭還剩2張，今天差點漲停賣單掛1000多的數字明顯刻意假單因為今天漲停就正式宣告這檔被玩壞了散戶會大量下車(包括我)這也是我手頭還留兩張的原因明顯就是還可以拉繼續拉現在就盤在28.8，之後日子應該還會上漲如果漲幅不大，甚至看起來拉的很勉強剩下兩張就會出脫，屆時頭部也算形成就看是散戶多殺多，一路狂跌到起漲點還是散戶恥力夠，逢低沿路攤平，緩跌收尾-----Sent from JPTT on my HTC_M9px.--,0,0,1
5598,2016/11/3,tosay,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1478176371.A.426.html,Stock,大家注意以下引用fb分享網頁，如有不當，請來信告知===既然最近流行檢舉，那好吧，到底是自由買賣股票有錯，還是散布不實言論意圖打壓股價有罪，我看交給法官來判好了，從今天開始，我們將請所有社友幫忙搜集所有空方意圖影響股價之言論，以及意圖操弄股價的空方共犯，還有賴群，私訊等各種空方造謠，再加上大量放空的融?資料，一併交給相關單位，追查是否有惡意打壓股價，造成特定人士獲利之行為，請有相關證據的朋友，直接將相關證據傳給社團理事「江大頭」，做整理統計，「公道如果不在人心，那是非就各憑實力吧」===也就是說，如果你有贊聲的，也算是共犯本人不針對此事發表立場，希望各位網友能了解不過這裡是股板，還是發表一下該股票的分析以下針對實際數據分析，絕無不實技術面來看要往上，還是要解決掉 10/27， 10/28的大量高點要往下10/4的爆大價成交者願意容許的點基本面Q1，Q2都是虧錢的，不是不能漲，那就看Q3才爆是否能有驚艷的表現不過個人從月營收看不到亮點，毛利淨利在Q1/Q2也是負值，還是一樣要看Q3--,15,4,1
5821,2016/11/10,jwzkp,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1478781893.A.C60.html,Stock,Q3公布了凱衛 105年第3季綜合損益表，每股盈餘0.28元年增 -55.13%終於停止虧損啦明天續噴??--,58,1,1
5947,2016/11/14,bbs3379,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479098281.A.E35.html,Stock,沒有基本面的股票  玩的就是籌碼戰和心理戰主力利用融資融券鎖單   準備要多空雙賺有膽識的人可以先準備好資金  看好時機放空我估計目前已經走到末升段了萬般拉抬只為出技術面的判斷看你是要高檔爆量長黑尖頭反轉或是做頭破線慢慢盤跌   現在就是等訊號出現就是空點搭配投顧電視上瘋狂放送漲停板   搭配新聞利多出來可能是虧轉盈  營收大幅增加   接到大訂單等等放空最怕的就是被反咬  所以要特別注意資金控管和風險漲快3倍的股票   肉真的很多加上股票目前還算中低價位  小戶也可以空不會有太大負擔等訊號一出現我就會空了  只是擔心到時候沒券可以空--,17,2,-1
5953,2016/11/14,comemail,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479091903.A.92F.html,Stock,已停損已實現損益 -三百多萬仍有部份未實現損益  不過沒關係影響不大就放著繼續看看seafood能帶著集保三千散戶走多遠底下開放多軍信徒嘲笑文+空軍噓文~~若有人身攻擊請板主也不要桶   謝謝~~--,183,11,1
5977,2016/11/14,PPDTMK,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479089463.A.9F0.html,Stock,感謝大大賞錢有人規定低於淨值10塊就要跌嗎何況Q3還是賺錢 ，你鍵盤估第三季還看錯方向離大大停損50不遠了，感謝有空空單保證金不足去補錢跟著PTT高手反做就是爽--,19,21,1
5993,2016/11/14,weron,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479095844.A.D64.html,Stock,"看了一下前文，如果壓的真的是本金的15%被軋的壓力會很大，主力一炒就漲兩三倍的情況並不少見，如果有機會會賠30%以上已經不是""本多終勝""了。我只玩股票，看空的時候一檔最多只壓2-3%，然後同時空十幾二十檔，通常一定會遇到明明是爛股卻一直飆，當然也有自己看錯的...今年有遇到的隨便舉個幾檔:宏達電 空86 最高110 現價77網龍   空34 最高 55 現價34.7匯鑽科 空64 最高 83 現價51策略就是只要他還是爛股就放者凹到我賺錢為止...本多終勝 :Q怕被酸只會嘴砲還是貼個對帳單(未實現) --",11,0,-1
6032,2016/11/15,y22710616,[新聞] 凱衛列注意股！10月每股盈餘0.09元,https://www.ptt.cc/bbs/Stock/M.1479209090.A.5E3.html,Stock,-------------------------------------------------------------------------1.發文前請先詳閱[新聞]分類發文規範，未依規範發文將受處份。2.連結過長請善用  縮網址，連結能不能點擊者板規4-1處份。3.心得/評論請盡量充實，心得過短將會以4-4一行文規範水桶處份。4.請依格式輸入內容，未依格式者板規4-1砍文處份。---------------------------按ctrl+y可刪除以上內容。-------------------,69,4,-1
