,dt,author,title,link,board,content,positive,negative,score,content_score
1246,2016/6/30,longreen,Re: [標的] 台指期（空）,https://www.ptt.cc/bbs/Stock/M.1467268402.A.51A.html,Stock,命懸一線啊XD 很抖吼各位空軍們，不管你用的是什麼系統，停損設哪裡，記得確實執行不要凹單嘿。總之，既然今天市場女王讓我們繼續苟延殘喘，不給我們一刀斃命，我們還是要盡該盡的義務。接下來的交易策略，一樣守住原定停損8560，另一方面，如果明天收黑K在8420～8460之間，收盤前加碼1口小台，停損8560，若收低於8420，則暫不動作。進場後，能撐一天算一天，活得越久領得越多。一旦建倉，還沒停損出場前，交易都是成功的。附帶一提，每個人對於浮動損益的心理容忍度不盡相同，如果你連用200萬做2口小台，停損120點左右，都會緊張得睡不著覺的話，表示你操作的槓桿還是太高了，應該再做調整。交易其實是一種探求自我的過程。交易技巧：停損點的設定4（進階題—均線糾結穿梭）「接著，昨日收盤，看到10日、20日線即將交叉通常這種情況，是一定會交叉的，很少在接近交叉時，又迅速軟下去(起碼也是交叉後再軟，而非連交叉都沒有就軟)所以，開始考慮進一點多單。想請問你，若依你的操作指標，今日應該確定會是10日站上20日了，是否就該果斷，於下次10日跌落至20日下面之前，都不再新開空單呢?想和你討論，謝謝~!」本篇文章將分為兩部分，當然是有關連性的。首先，上面這一段文字，事前一篇文章中PO過板友來信的後半，藉由這部分，我想把至今為止我對於操作的基本觀念、趨勢的定義和對線圖的解讀方法，完整清楚地重述一遍，而且我相信，如果你嚴格依照我下面所敘述的方式操作，不敢說你將來能賺到多豐厚的財富，但至少在交易上穩定地一點一滴地累積獲利，是絕對可以預期的。在這段期間板友來信的內容中，我發現比較多的問題是在於對趨勢的定義，換言之，也就是對於均線的解讀，還不是很能精確地掌握，多數人還是把焦點放在均線的「數值」及「位置」，這是不正確的。下面我再把本系統對於趨勢的定義做一次完整的描述（以多頭為例）：主要定義：5日線及10日線在20日線之上，20日線方向向上（這一句標閃爍顏色）。月線          決定方向，週線決定力道；趨勢判斷，先方向後力道。輔助定義：指數上漲過波段高點，下跌不破波段低點。就這樣，其實很簡單。本於上述原則，我們來看看我這兩次標的文的進場判斷（都是一致的）。請各位自己找線圖對照。在上一次的操作中，台指期在03/17創下波段高點8819，03/29跌破月線後反彈，03/31的反彈高點8815不過前波8819，高不過高；回跌之後，04/06破前波低點03/29的8564。至此，已經符合上述空頭趨勢的輔助定義，此外，經過04/01～04/07的大跌，盤勢在04/08開始之後的反彈過程中，均線也漸漸形成空頭排列，也就是5、10日線在20日線之下，20日線方向向下，至此則符合上述空頭趨勢的主要定義。於是我在4/11（還12？）PO標的文做空，後續的過程大家應該都很清楚了。接下來是現在這一次。指數在06/08創下波段高點後拉回，06/14紅棒低點為波段低點，06/16大跌，破波段低點並破月線，06/17開始反彈，06/24黑棒高點為波段高點，不過前高，當日又跌破前波低點06/16的8247，至此，已經符合空頭趨勢的輔助定義，均線也如預期在日後形成標準定義下的空頭排列，同樣的，我再次PO了標的文做空，在反彈過程中進場。各位可以很清楚地看到，我的進場邏輯非常一致，可以說很機械性，不是這次有這次的理由，下次有下次的藉口。各位要切記，指數在線圖上的趨勢形成後，並不是保證會獲利，它的意義在於給我們固定的操作依據，只要我們不斷反覆做相同的事，輕倉試單，設好停損，獲利加碼，大賺小賠，財富自然會一點一滴累積起來。那麼我這裡附帶說明一下，為何我這次和上次在初步進場的下單方式尚有所差異。首先，從整體的型態上而言，上一次的盤勢，從3月初到4月初有一段密集的頭部區，這意味著相當程度的壓力；這一次的話，指數從06/08波段高點，直接V轉下來，這種情況，上方籌碼（壓力）的本質不好判斷，到底是因為根本性的原因使指數下跌呢，還是只是由於短線利空造成的？不曉得，所以心態上偏保守。最重要的，當然是06/24的暴跌，顯然是由於脫歐事件引發的，但是無論如何，線圖就是線圖，我們不可能，也沒有能力去分析預測公投後續會發酵出怎樣的效果（誰知道他們現在又要脫不脫的呢？），作為一個純技術交易者，我們只能按照市場，也就是價格本身，給我們的指示去操作，線圖出現什麼情形，我們就要做系統所設定相對應的動作，如果確實有其他方面的疑慮，那就降低部位，減少曝險程度。好了，現在回過頭來看看最前面那段板友來信的問題出在哪裡。從敘述內容中，可以知道其判斷上的瑕疵在於忽略了「月線方向」。我曾經說過，短中期均線，很可能會因為價格短暫的變化而擺盪，有時甚至會在月線上下穿梭不定，這就是行情在盤整時的特色，但是月線方向不是那麼輕易可以扭轉的，也就是，趨勢不是那麼容易就改變的，所以交易上更不能忽多忽空。這也是為什麼我在說明停損的文章時強調，初步進場後的停損，最重要的原則，各位還記得嗎，就是「下好離手」，「堅守」停損（記得堅守的意思嗎？）。因為既然我們以十分嚴格的方式定義出當下的行情趨勢，我們就要相信它不會輕易改變。所以我們要再一次，確實地，精準地，掌握上述（本系統）對於「趨勢」的定義，不是短均「站上」長均，也不是所謂的金叉死叉，而是*5日線及10日線在20日線之上，20日線方向向上（這一句標閃爍顏色）。*月線決定方向，週線決定力道；趨勢判斷，先方向後力道。*指數上漲過波段高點，下跌不破波段低點。至此，我們可以知道，前面來信的這位板友比較可惜的地方，大概是因為對於這個均線系統還不夠熟悉的緣故，過於急躁出場，甚至還有反向作多的念頭，以致於沒有吃到後面的大波段（我記得好像有先回對方說不建議作多吧？忘了XD）好了，一如往常地，我又寫不完當天預定的進度啦（唉）。下篇一樣是停損點的設定4，是下集。--,61,1,-1,
1323,2016/7/2,longreen,Re: [標的] 台指期（空）,https://www.ptt.cc/bbs/Stock/M.1467403038.A.EA7.html,Stock,單子停損惹，哭哭。才怪，停損沒什麼好哭的啦XD，告訴各位，交易上的停損我做過無數次了，那為什麼我還活著呢？當然是因為我賺得更多啊～（話說，希望板上沒有空軍現在還在凹單的= =”）這篇文章要做兩件事，第一，就是交易失敗後的檢討，第二，就是回答板友的問題。這次的交易，預設停損在台指期8560，所謂預設停損就是你一進場就掛好的單喔，不是放在你心裡保溫的。今天（07/02）台指跳空開在8568，所以停損單應該會在這個價格附近成交。我把交易分成四種結果，最好的結果，是依系統操作且賺錢，第二好的結果，是依系統操作且賠錢，壞的結果是不依系統操作且賠錢，最糟糕的是不依系統操作且賺錢。各位可以發現，第三種甚至比第四種還好，第四種不是至少賺錢了嗎？賺錢總比賠錢好吧？錯。撇開那些純感覺進出的，或只是把交易當成閒暇娛樂小賭怡情的，如果你是有心在交易這條路上找到一個系統性方法，穩定發展的人（不論是專職還是業餘），你一定要有上面的觀念。其實我本來還想把「依系統操作且賠錢」排在第一位的，不過怕別人覺得我太假掰所以算了，哈哈。為什麼不依系統操作且賠錢，是比不依系統操作且賺錢還好的結果呢？很簡單，那是因為前者會讓你反省，這種錯誤你會一犯再犯，然後不斷懊悔，痛恨自己，憎惡自己，最後你就有機會走上成功的路。如果你把不依系統操作且賺錢這種結果當作一種好事，那我跟你說，你想要成為一個成熟交易者的目標是無望的。我記得不知道是在自由人還是誰的書裡看到過，提到說自己是菜鳥時有個前輩，手上都是煙燒傷的疤，本來以為他是自虐狂，結果原來是那個前輩懲罰自己的方式…在他未依系統操作而賠錢時。「至少這次賺到錢了」，你會這樣想吧？我實在告訴你，那些錢很快就會再飛走了啦，你以為你現在賺到了嗎？對，你「現在」確實賺到了，只不過那只是「餌」而已，那些錢只是暫時放你那而已，你看不出來還在那邊沾沾自喜，不曉得自己已經是市場上的肥魚了嘛。交易有沒有聖杯呢？有，至少我認為是有的。那是什麼？你一定會問。「我才不告訴逆咧，要就自己去尋找，我怎麼可能把我嘔心泣血得來的交易智慧無償地分享給你…」你覺得我會這樣回答嗎？錯了，想知道什麼是交易的聖杯是不是？簡單啦，我現在就跟你說啦，交易的聖杯，只有5個字，那就是                             依‧系‧統‧交‧易怎麼樣，我告訴你了啊，你做得到嗎？我就是看準你做不到才這麼大方跟你講啊。還是你覺得我在虎爛？沒關係，能體會的自然能體會，不懂的，也不用多做解釋。對我來說，依系統交易而賠錢，其實是一種好事，賠錢就是爽啦。為什麼？因為我把「額度」用掉了啊。什麼額度？當然是失敗的額度。假設我的系統勝率是2：1，那我這次小賠一點，便意味著下次又要大賺了…前提當然是：依系統操作。那下次再賠怎麼辦？有差嗎？你擲銅板會不會連兩次同一面？前一次成功的操作我們大概賺了30萬（好像），這次賠1萬5，可以賠20次耶（可能嗎？）。反過來，當我這次依系統操作賺錢了，那我心裡也會想著「搞不好下次會賠」，這是一樣的道理，坦白說，這也是我這次「下小」的原因之一。所以，虧損之後該檢討的，不是「幹我那時買就好了，幹嘛放空呢」「我本來有想過要空的，早知道就空了」「我怎麼沒在那時候出場，這樣就少賠一點」…這種。如果你賠錢之後，心裡的念頭是這些「早知道、那時、如果、就好了」，那表示你在交易上還是個幼稚的小鬼。虧損後最重要的反省，當然就是自己有沒有「依系統操作」，從盤勢研判，下單方式，到停損執行等，有沒有照規矩來，有沒有憑「感覺」隨意進出。檢討之後，如果發現自己的動作都沒有違背系統，非常好，安心睡覺，等下次賺大錢；如果有的話，恩，看自己是要去撞牆還是在大腿上刺一刀還是用煙燙隨便你，總之，下次不要再犯。就這次交易的結果，我認為屬於第2種，也就是「依系統交易而賠錢」，是很好的結果，值得慶祝。那麼接下來要做什麼呢？就是等待，等待下一次的行情，下一次的訊號，再重複做一樣的事。這段期間最忌「焦躁」，對於上次的賠錢念念不忘，一直想翻本，想把輸的「皮等來」，朽漮朽滂，每天在那邊想現在可不可以買了，這裡再空一次好了，就不相信它會漲這麼高，四處找理由想進場，把自己的系統都拋在腦後。如果你陷入這種情緒當中，前方等著你的是再一次的挫敗，而且傷害會是加成的。既然提到了交易情緒（話說我很久以前有PO過一篇談「懊悔」的文，有興趣的板友可以搜尋看看），我這裡想附帶稍微提一點，就是「恐懼」。在交易之中會產生「恐懼」這種情緒的時候，其中之一就是在價格鄰近預設停損的期間，我相信不管是這次的交易，還是大家過去一定都有過這種經驗，被這種情緒征服的人，一般會採取的動作是，要馬移動甚至取消停損，要馬提前出場。我這裡不深入地談，只講講「提前出場」這一點。在持有部位的過程中，價格在預設停損點附近徘徊的情況，是很常見的，人會在這種時候產生恐懼心理，也是很正常的，但是只要你確實地經驗過幾次「沒有依系統出場而提前認賠，結果價格日後往你原來建倉的方向前進」這種事的話，你就會想要剁手指發誓以後再也不要這樣了。我講白點，既然價格都離停損這麼近了，就等它來就好了啊，沒差那幾點真的，作人要甘願一點，瀟灑一點，你一開始下了2萬塊的注在檯面上，眼看自己快輸了，竟然拜託莊家退一兩千…不…幾百塊也好…給你，讓你可以坐計程車回家，幹這還不給人笑死嗎你這俗辣？沒本事就不要進來玩OK。你這次為了少賠這10幾點，下次、下下次，你就是少賺好幾百點。其實我這次的標的文是以停損作結，結果對大家而言（包含我自己）是好的，因為這才能讓各位看到交易上真實的一面，如果這次又賺了，造成各位一種錯覺，覺得我PO文必賺，以後看到ID就盲目跟單，這才是最恐怖的。相信板上只賺不賠的神人很多，我剛好不是其中之一，我只是自詡是個還算成熟的交易者，有自己的系統，照自己的系統操作，因為在交易上有些心得，有空上來跟板友們分享一下，這樣而已。還有就是我一再強調的，要切記，沒有完美的交易系統，你找到了一個適合自己的系統，你就要同時接受它的優點和缺點，就跟女人一樣，不要只想把自己的系統「最佳化」，也不要只想設法「改造」你的女人。市場上每天都有人在買賣，買的人或賣的人都有他們的理由，今天行情這樣呈現，對A（的系統）來說該賣，對B（的系統）來說該買，明天結果會如何，沒有人知道，但是一定會有個結果，重要的是，賠的要想辦法賠少一點，賺的想辦法多賺點。結果出來後，反省，學習，長進，等待下次機會，讓自己保持一顆平靜的心，不要理會他人的閒言閒語，「這種行情還在放空？笑死」「大盤9000了還買喔，傻了嗎」「我這波賺了xx萬」…之類。我說過交易要多關注自己，不用關心別人。當然，等下次你賺錢的時候，也不需要說這種話，或有這種念頭。下一篇我會回答板友提過的一些問題（包含來信的）T.T--,91,11,0,
1435,2016/7/5,kbcc,Re: [標的] 3373 熱映,https://www.ptt.cc/bbs/Stock/M.1467682294.A.58C.html,Stock,今日走勢轉強，持續看好，即使是觸前高回落，我也會站在買方。預期這檔走的會是突破格局而非盤波段頭部。供大家參考。-----Sent from JPTT on my HTC_M9u.--,88,9,1,
1832,2016/7/15,henry910119,[標的] 大盤(空),https://www.ptt.cc/bbs/Stock/M.1468550449.A.5F2.html,Stock,1. 標的：大盤2. 分類：空3. 分析/正文：基本面:超級好！不說了不過股票本來就不是只看基本面技術面:有過高的嫌疑但也可能繼續嘎空籌碼面:這個禮拜連續的大量我想散戶進不少 尤其是今天 散戶應該瘋狂買進。現在空就對了心裡層面(這才是主因)昨天突然出現10幾篇標文。平常不出現結果歐股一大漲就出現，人人都是大師，一看就知道高點到了。今天的漲勢個人認為是空頭回補，不過是不是明後天就知道了！----------------------------------------------------------------這是德股的走勢如果有發現德股一碰到年線壓力後就會下跌這是法股這裡我的推測。 屠殺加上過高歐股會有一波回跌 進一步的市場都會下跌至於是回測還是下跌 就看後續發展4. 進退場機制：(停損價位/出場條件/長期投資)進場:已進退場:沒跌就是我分析失敗 跟上面不一樣就退禮拜一亞股沒跌就出場如果禮拜一跌後又漲 破成本就出場-----Sent from JPTT on my LGE LG-H815.--我的樂觀  來自你的悲觀--,65,22,-1,
1836,2016/7/15,jokeman,Re: [標的] 盟立(2464),https://www.ptt.cc/bbs/Stock/M.1468595822.A.1FD.html,Stock,:1.我個人在1/30 開始買，有過過一波，從33元買進，40元附近賣，做第一次波段2. 5/10發文推薦做第二波段，下跌時我再推文再34~36元加碼3. 6/27漲上來過前波高點盤整時，再度發文加碼買進  ->個人對帳單，童叟無欺，我有把除完息的報酬還原回去很多版友報酬率都比我好很多，我只是為了證明我不是空氣單，台GG是不會騙人的因為我習慣跟版友們都在推文中討論，也以免太過於洗版佔版面這篇是說明一下這檔的操作邏輯跟我之前的選股邏輯作呼應1. 符合大部分選股邏輯，基本面也成長，回到均線糾結處買進2. 買進後，6/22起投信跟自營商開始買進，證明買就該買在法人之前，讓他們抬轎3. 開始盤跌後量縮平穩，就差不多可以買進4. 當初加碼原因有二，主力券商持續買進，沒有出貨跡象；法人持續買超不賣5. 6/24~7/04 盤整期間為何再度加碼原因，6/24 長黑是因為受脫歐拖累所以不理會   剩下的幾天是量縮盤整，延五日線爬升，盤中低階買盤穩健，沒有長黑爆量   二者是法人續買，主力券商未明顯出貨(兆豐)，因此再度加碼買進-------------------------------------------------------------------------各位版友要討論這檔可以在推文討論，我就不再回文囉，避免洗版今天盤後觀盤，融券開始增加，空軍開始手癢，主力券商之一(兆豐)開始獲利了結但好處是站在很多天賣方的外資開始買超，他願意再推一把讓我們出貨給他我是很樂意的，當初有相信我而有買進的版友，下周注意下賣點囉!!--,122,1,1,
2053,2016/7/21,Lv10,[標的] 大盤,https://www.ptt.cc/bbs/Stock/M.1469092738.A.408.html,Stock,1. 標的：大盤2. 分類：空3. 分析/正文：先說....這應該會是我近期的最後一篇文章了因為為了算大盤走勢...MP已耗盡。正文開始.....民國50年10月23日 台灣證券交易所成立 星座我不在行，所以星座運勢我都是參考唐立淇老師。然後昨天晚上就用塔羅牌算了一下大盤下半年的走勢。抽中的是 寶劍八【正位】、太陽【逆位】、戰車【逆位】分別代表著 股價現況、股價走向、出場時機：寶劍八【正位】八號牌與「評估與前進」相關。寶劍八是受困牌，圖中的人物困於利劍與泥淖中，遠方的城堡安全之地離得很遠，蒙上的雙眼，身上布條的包裹，他受困於想法當中，想法強大的作用性，讓他的行動能力受到限制，他正小心翼翼的，透過地上的水痕，感受自己心中的感受，想辦法脫困，旁邊的這些利劍，可能是來自他人的一些建議，或是自己心中的想法、評價，然而這些想法、意見、建議，確確讓他更加的受困於其中，陷入一種僵持的局面當中，處於困擾的情緒，不知道什麼是正確的方向，只能稍稍的加以摸索，卻害怕受到傷害，表現的相當無力感，害怕與退縮。：太陽【逆位】太陽出現，就充滿希望歡欣的氣氛，所有的事情都一帆風順，而且是全方位的成功。太陽如此光明，但過猶不及，任何事情都有隱藏的危險處。太陽雖然帶給我們溫暖與能量，但它也能將人灼傷，將大地烤成沙漠，太陽逆位也就代表各種事項逐漸走下坡，已經過了高峰，極盛時期過去了，最亮最熱的時機已經不再。：戰車【逆位】戰車牌逆位的一個可能意思是，多愁善感的懸而未決的感覺影響了你對事情的看法。不要沉迷於過去，不要沉迷于應付事情的老方法，或沉迷於在你內心越堆越高的情緒，當這張牌逆位時，情緒突然爆發的情形是預料中的事。最後，之前的標的 GIS-KY、鴻海、友訊都在今天盤中陸續出脫完畢。樂陞則是前兩天在102就先賣了，本來還想說押回再買回的...沒賺到後面這幾天台企銀則不會買入了。4. 進退場機制：(停損價位/出場條件/長期投資)今天已進場，手上已放空 4張0050期、9007的八月台指期一口停損價位：9958停利價位：8458內容均不構成對任何證券買賣邀約，也不會對讀者進行任何形式邀約。每篇文章僅本魯投資記錄與心得分享，引用數據皆為個人研究心得；非為投資建議與參考，請勿引為買賣決定！投資有風險，任何買賣請自由判斷進出，本魯不對任何人負責買賣盈虧。也無推介之責，純粹分享交流使用。--,67,5,-1,
2141,2016/7/25,chengwaye,[標的] 大成,https://www.ptt.cc/bbs/Stock/M.1469414067.A.23E.html,Stock,1. 標的：大成2. 分類：短線單3. 分析/正文：大成回檔至技術分析的60ma。黃小玉回檔導致長線投信”頭次“大賣，但大賣頭次出現估計尚不為患。技術線上頂多是有反彈的機率，長一點的波段底覺得還沒有可能，也要這邊因原物料走勢打上一個短底後，才有可能向上，個人採三天內往下買法，操作短期反彈，此篇文為操作季線反彈短線紀錄。4. 進退場機制：四日內未見反彈停損單。分享文內容不構成對任何證券買賣邀約，也不會對讀者進行任何形式邀約。每篇文章僅為個人投資記錄，引用數據皆為個人研究心得；並非給本文讀者任何投資建議與參考，請勿依據本文作買賣決定！投資有風險，作者不對任何人負責買賣盈虧。不建議任何讀者跟單。--,124,13,1,
2170,2016/7/25,superbenq,Re: [標的] 3455 由田,https://www.ptt.cc/bbs/Stock/M.1469433482.A.329.html,Stock,不知道大家是否抱緊 40元列車準備出發了 由於許多人寄信問我這檔並且提出許多問題 不好意思由於工作太忙無法全部回覆 基本這檔盤前戳合可以看出一些端倪 主力製造出賣壓很重的假象 但可以看得出32.5-33是強大主力均價支撐區 盤中刻意壓盤 持續用現價賣出但卻有一個有趣的現象 越壓盤 股價越高明顯看得出主力貪婪的難看吃相 等到吃掉散戶的單後 再利用大單急拉 殺個大家措手不及看準這種手法 要吃傻傻主力豆腐 一點都不難今天大盤急殺時 就可以看到這檔明顯有人在顧外加這檔除息2.5元 殖利率之高 即使大盤不穩進可攻退可守 我已經準備好吃爆傻主力嫩豆腐了融資早已All in 等待明天的跳空算錢 為了對自己標的文負責在除息前只要跌到31以下 新竹發雞排50份如果跌到30元以下 我會全部停損 並且在新竹發放雞排100份但我相信這個機率之低 應該是不可能發生的希望時間能過快些 等不急明天開盤數錢數到手軟了----,69,3,1,
2187,2016/7/26,chengwaye,Re: [標的] 大成,https://www.ptt.cc/bbs/Stock/M.1469498781.A.7D9.html,Stock,小弟玩這隻玩一玩也快八年了算是小有心得昨天到今天的反彈原因是靠著外資對幹投信成為短線反彈小底部然而就如文章所說小弟比較不看好大成這邊變成一個中線底部要是有興趣的可以去a小弟大成的文上次小弟PO大成文是在4/6的21.3波段單帳戶抱一抱抱到最近又換搶反彈帳戶出來昨天外資買超的1800張氣勢完全大贏投信自然今天開紅上拉不是很意外但投信其實還有快萬張可以出投信開始賣就是一直賣一直賣所以今天拉起來接近CDP壓力小弟剩餘的反彈單就先出了下一個波段低點等投信賣完說不定剛好到下一大條均線可能會是小弟比較喜歡的波段進場點--,61,0,1,
2197,2016/7/26,fu3293,[標的] 中工2515,https://www.ptt.cc/bbs/Stock/M.1469532116.A.62A.html,Stock,-------------------------------------------------------------------------1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-14.請依格式輸入內容，未依格式者板規4-1砍文處份。5.分類選填請益或心得者，進退場機制得刪去。---------------------按ctrl+y可刪除以上內,55,26,1,
2455,2016/8/3,jokeman,[標的] 漢唐 (2404),https://www.ptt.cc/bbs/Stock/M.1470238918.A.8DD.html,Stock,1. 標的：漢唐 (2404)2. 分類：多3. 分析/正文：   a.基本面：幾乎從2014/11 以來的月營收的年增率都是正成長             從九億開始爬升到現在的12~15億左右，訂單穩健             2016 Q1 毛利率:15.73%，較去年同期微幅成長             營益率為 11.29%，是歷年來第一季表現排前三高             2016 Q1 eps：1.37，為歷年來第一季最佳，是明顯的突破             粗估今年eps為5.7~6.2元，以現在股價推算本益比才8.1倍             去年發放4.5元現金股利，歷史新高，股息殖利率接近10%             利息保障倍數268.79，財務體質還算不錯             近八年的自由現金流只有兩年為負值，現金流平穩             值得一提是，第一季的業外損失五千萬是匯損造成             第二季將不會有這問題，且今年第二季營收是歷史新高!!             上半季賺三元應該不是太難的事!!   b.技術面：從去年九月以來一路走上升趨勢線             型態學上來看是上升楔型，也是末端的三角收斂區段             目前均線糾結，且五線全部翻揚向上，各時期投資人成本墊高中             代表有追價意願，今天收腳下影線，連兩日站穩半年線支撐             目前都量縮至一千多張左右，攻擊量約三千到四千有助填息             短壓在除息前的51~52元區間，需要帶量消化壓力             第二季財報出來若如預期良好的話，前高53.9 應該不是問題             下檔支撐在46.35，若跌破則風險提高，不宜加碼，支撐會變壓力             向上有賺五元以上空間，向下有賠兩元就停損的風險             大家可以仔細盤算盤算   c.籌碼面：這檔外資持股高約24.68%，集中的持股             融資使用率約當8.85%，游資散戶持股低             外資從7/11 起已經慢慢轉變為買進的心態，可以持續觀察   d.消息面：上半年靠台積電訂單跟大陸面板廠訂單，穩健成長             下半年就靠台積電的南京廠來撐起營收，以及台積中科的擴廠             目前在手訂單就兩百億左右，第三季會認列業外大陸江西投資股利             第三季的eps 也是2元起跳，全年抓個6元附近不為過4. 進退場機制：(停損價位/出場條件/長期投資)小弟昨天48.7進場 / 今天 48.3/48.7 進場加碼之前觀察未進場，是均線壓力未過，需要時間化解，這兩天站上半年線，故進場這檔量不小，且我買的價位也是跟現在差不多，不會又說是抬轎文吧 QQ大盤點位高，請各位要考慮清楚，且明確知道自己買的是什麼東西再決定一切都要考慮風險為上!!--,296,9,1,
2524,2016/8/5,nntw,[標的] 1787 福盈科,https://www.ptt.cc/bbs/Stock/M.1470331931.A.5A7.html,Stock,1. 標的：1787 福盈科2. 分類：多3. 分析/正文：如果說儒鴻是奧運概念股  福盈科就是儒鴻概念股 XD (這幾周 儒鴻沒上車的 還有補票機會)  重點是福盈科今年第一、二季營收破自己記錄，第三季是傳統旺季。4. 進退場機制：(停損價位/出場條件/長期投資)停損，停利：8/4已收33張 不設定股價 抱到10月 中 出。--,63,7,1,
2699,2016/8/11,chengwaye,[標的] 4991,https://www.ptt.cc/bbs/Stock/M.1470880633.A.8F3.html,Stock,1. 標的：環宇-KY 49912. 分類：短線單3. 分析/正文：回檔至支撐72~75，75見大單掛整數價出清單被其他分點直接大單接走，盤後看籌碼猜測為投信。猜測這邊應該有中線反彈的空間。個人操作若後續有往下繼續買，破70停損。4. 進退場機制：分享文內容不構成對任何證券買賣邀約，也不會對讀者進行任何形式邀約。每篇文章僅為個人投資記錄，引用數據皆為個人研究心得；並非給本文讀者任何投資建議與參考，請勿依據本文作買賣決定！投資有風險，作者不對任何人負責買賣盈虧。不建議任何讀者跟單。--,54,1,1,
2793,2016/8/13,ninaplay,[標的] 3455 由田,https://www.ptt.cc/bbs/Stock/M.1471082003.A.7F3.html,Stock,1. 標的：3455 由田2. 分類：波段多3. 分析/正文：籌碼面:主力長時間不退場，上下洗盤做波段。PTT散戶出場。技術面:跌破半年線後馬上拉回強勁支撐。各項技術指標待爆發。個人習慣14日線為進出指標。營收方面:1~6月慘慘EPS慘兮兮，靠七月營收拉到跟去年相同。猜測接下來會有ㄧ波營收認列。消息面:中國ˋ台灣面板廠相繼擴廠，AOI設備廠不太可能業績衰退，相比均豪ˋ晶彩科已營收任列噴噴，由田和牧德都有機會。4. 進退場機制：(停損價位/出場條件/長期投資)原則上簡單化，兩個條件。14日線做波段，若連續兩天跌破14日線就出場，待升破14日線進場。2.爆量出場不設停利點。最晚1月出場。仿效S大，若除息前跌破31就發50個雞排(景美)，漲到40以上發50個雞排。漲到46以上發100個雞排。不喊卡。以下開放登記~--,281,3,1,
2919,2016/8/17,d94425140,[標的] 2545 皇翔,https://www.ptt.cc/bbs/Stock/M.1471446830.A.C86.html,Stock,1. 標的：2545皇翔2. 分類：長多3. 分析/正文：基本面→上半年營建獲利王，還有未認列營收。技術面→準備好衝破前高，41.65。籌碼面→大戶、主力籌碼集中。消息面→無4. 進退場機制：已進場打算放個一年或60獲利出場。退：基本上不退場跌破35我在加碼持股並新莊流氓雞排發50份-----------------------60獲利出場我也發50份雞排！加碼捐6000元給徐園長護生園------------------------改個方式都吃的到！這樣好不好！對帳單對帳單小弟我來試試水溫！看看囉！感謝指教！那請問大大買了嗎？當然不需要囉，板上前輩個個高手。小弟只是小小淺見分享。這是自然...,135,0,1,
2933,2016/8/17,Missing,Missing,https://www.ptt.cc/bbs/Stock/M.1471431057.A.154.html,Stock,來源: ->請輸入3662作者: S26 (專做破產轉機借殼掏空股) 看板: Stock標題: [其他]樂陞已達收購數量暨公開收購條件均已成就時間: Wed Aug 17 18:50:54 20161.事實發生日:105/8/172.發生緣由:公開收購人公開收購樂陞科技股份有限公司（代號3662，以下稱「樂陞科技」）普通股，所有本次公開收購條件均已成就，爰依公開收購公開發行公司有價證券管理辦法第19條第1項之規定申報。3.因應措施:本次公開收購尚未截止，公開收購人將持續公開收購樂陞科技公司普通股至105年8月19日下午3點30分止。提醒欲參與應賣之樂陞科技股東，請儘速持證券存摺與留存印鑑至原開戶證券商處，辦理應賣手續。如有任何問題，請洽本次公開收購受委任機構中國信託商業銀行股份有限公司，應賣諮詢專線：(02)6636-5566(代理部)。4.其他行政院金融監督管理委員會證券期貨局規定事項:(1)依公開收購公開發行公司有價證券管理辦法第19條第4項規定，應賣人於公開收購人為本公告後，除法令另有規定外，不得撤銷其應賣。(2)應賣股數已超過預定之收購數量，如無因假扣押、假處分等保全程序或強制執行程序，或出現其他轉讓之限制，使已應賣股份視為自始未提出應賣，且無其他經主管機關核准後得停止公開收購之情事，本次公開收購將於公開收購期間屆滿後5個營業日內(含第5個營業日)辦理應賣股份交割及收購對價支付事宜。心得:我手上是沒有拉~~~~恭喜有的各位~~~~我之前還辦了10個帳戶為了等成就再     買說~~~~看來只能期待華亞科了--,79,7,0,
